iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,702.173,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
1,697.629,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
2,697.103,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
3,697.836,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
4,701.936,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
5,700.865,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
6,700.982,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
7,698.995,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
8,698.73,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
9,697.19,6993.437,697.103,702.173,699.344,-3502080,3489792,928972.8,1875,1875
