iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,115256.185,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
1,115299.774,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
2,114716.302,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
3,114822.733,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
4,114817.913,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
5,114641.367,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
6,115005.034,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
7,115019.841,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
8,114935.379,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
9,114750.998,1149265.525,114641.367,115299.774,114926.553,18567168,25817088,21759590.4,24300,24300
