iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,13128.267,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
1,13130.833,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
2,13122.932,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
3,13142.122,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
4,13124.524,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
5,13136.52,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
6,13407.089,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
7,13136.785,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
8,13138.545,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
9,13137.358,131604.975,13122.932,13407.089,13160.498,3272704,3280896,3273932.8,14700,14700
