iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,926.816,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
1,927.877,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
2,932.329,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
3,936.298,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
4,938.649,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
5,938.883,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
6,933.25,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
7,930.855,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
8,934.304,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
9,934.785,9334.045,926.816,938.883,933.405,-4063232,8519680,550092.8,2700,2700
