iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,48.246,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
1,27.789,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
2,28.774,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
3,29.24,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
4,27.685,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
5,28.022,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
6,37.284,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
7,47.751,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
8,44.801,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
9,28.291,347.882,27.685,48.246,34.788,0,14893056,6393036.8,300,300
