iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,21894.429,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
1,21884.611,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
2,21888.033,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
3,21880.857,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
4,21889.236,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
5,21877.932,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
6,21880.554,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
7,21872.807,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
8,21883.687,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
9,21881.033,218833.179,21872.807,21894.429,21883.318,3092480,3104768,3095347.2,19200,19200
