get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
86.956,356215.753,1013.268,5.478,2.656,0,357445.235,5600,13200,30000,52800,0,0,0,0,22000,318508,318508
88.804,357543.356,1011.97,6.153,2.632,1,358759.259,5600,13200,30000,52800,0,0,0,0,22000,318508,318508
94.694,355291.247,1018.845,5.427,2.567,2,356523.853,5600,13200,30000,52800,0,0,0,0,22000,318508,318508
89.071,352865.584,1011.182,5.328,135.369,3,354211.442,5600,13200,30000,52800,0,0,0,0,22000,318508,318508
99.783,350085.573,1212.593,3.978,3.626,4,351519.645,5600,13200,30000,52800,0,0,0,0,22000,318508,318508
