get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
1.928,104.691,13.781,0.065,0.067,0,124.544,126,297,675,1188,0,0,0,0,495,3438,3438
1.833,104.728,13.358,0.057,0.051,1,121.443,126,297,675,1188,0,0,0,0,495,3438,3438
1.795,106.411,9.21,0.07,0.065,2,118.844,126,297,675,1188,0,0,0,0,495,3438,3438
1.726,101.28,8.398,0.057,0.06,3,112.92,126,297,675,1188,0,0,0,0,495,3438,3438
1.578,100.22,8.604,0.06,0.044,4,111.392,126,297,675,1188,0,0,0,0,495,3438,3438
