iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,105751.669,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
1,105873.108,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
2,105963.113,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
3,106541.463,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
4,105779.892,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
5,105259.04,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
6,106684.506,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
7,106528.191,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
8,105837.703,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
9,106218.641,1060437.324,105259.04,106684.506,106043.732,5984256,14102528,11302912,19200,19200
