iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,863.302,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
1,862.275,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
2,865.173,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
3,865.586,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
4,866.064,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
5,865.392,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
6,864.559,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
7,864.317,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
8,864.805,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
9,864.828,8646.299,862.275,866.064,864.63,-3137536,5259264,1472512,3675,3675
