iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,5742.19,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
1,5713.454,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
2,5742.169,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
3,5742.907,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
4,5712.79,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
5,5708.681,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
6,5751.929,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
7,5892.35,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
8,5849.257,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
9,5794.053,57649.781,5708.681,5892.35,5764.978,2641920,7049216,3801907.2,6075,6075
