iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,91.12,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
1,91.297,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
2,90.95,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
3,91.222,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
4,91.819,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
5,91.087,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
6,91.093,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
7,91.174,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
8,91.119,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
9,91.169,912.05,90.95,91.819,91.205,18874368,18886656,18876006.4,1200,1200
