get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
2.831,290.176,16.228,0.109,0.097,0,314.616,224,528,1200,2112,0,0,0,0,880,6406,6406
2.802,288.874,15.969,0.087,0.082,1,310.023,224,528,1200,2112,0,0,0,0,880,6406,6406
2.843,288.343,16.286,0.084,0.075,2,309.281,224,528,1200,2112,0,0,0,0,880,6406,6406
2.818,288.486,15.812,0.083,0.084,3,308.948,224,528,1200,2112,0,0,0,0,880,6406,6406
2.863,288.55,16.227,0.098,0.074,4,309.457,224,528,1200,2112,0,0,0,0,880,6406,6406
