get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
10.503,2428.811,95.057,0.241,0.37,0,2544.85,686,1617,3675,6468,0,0,0,0,2695,20840,20840
10.249,2429.606,96.171,0.236,0.333,1,2543.134,686,1617,3675,6468,0,0,0,0,2695,20840,20840
10.591,2429.663,95.893,0.329,0.304,2,2542.632,686,1617,3675,6468,0,0,0,0,2695,20840,20840
11.127,2432.361,96.205,0.239,0.357,3,2546.178,686,1617,3675,6468,0,0,0,0,2695,20840,20840
10.086,2437.88,95.861,0.252,0.326,4,2550.383,686,1617,3675,6468,0,0,0,0,2695,20840,20840
