iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,54225.153,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
1,54479.132,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
2,54270.834,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
3,54193.364,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
4,54229.33,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
5,54213.188,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
6,54119.06,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
7,54096.943,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
8,54349.794,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
9,54114.615,542291.412,54096.943,54479.132,54229.141,974848,3473408,1396326.4,30000,30000
