iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,75919.741,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
1,75677.223,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
2,75430.728,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
3,75429.042,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
4,75434.766,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
5,75559.899,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
6,75566.44,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
7,75290.763,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
8,75490.684,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
9,75493.602,755292.888,75290.763,75919.741,75529.289,6078464,21254144,11070259.2,24300,24300
