iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,220.407,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
1,220.491,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
2,221.672,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
3,220.584,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
4,220.963,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
5,220.49,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
6,221.185,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
7,220.65,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
8,220.621,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
9,220.692,2207.755,220.407,221.672,220.776,39845888,39854080,39847526.4,1875,1875
