iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,10515.959,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
1,10522.287,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
2,10468.778,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
3,10468.878,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
4,10489.093,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
5,10538.174,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
6,10482.344,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
7,10492.103,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
8,10471.557,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
9,10517.638,104966.81,10468.778,10538.174,10496.681,294912,7839744,4764467.2,7500,7500
