iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,6.497,64.302,6.323,6.55,6.43,0,0,0,300,300
1,6.323,64.302,6.323,6.55,6.43,0,0,0,300,300
2,6.356,64.302,6.323,6.55,6.43,0,0,0,300,300
3,6.493,64.302,6.323,6.55,6.43,0,0,0,300,300
4,6.537,64.302,6.323,6.55,6.43,0,0,0,300,300
5,6.368,64.302,6.323,6.55,6.43,0,0,0,300,300
6,6.353,64.302,6.323,6.55,6.43,0,0,0,300,300
7,6.472,64.302,6.323,6.55,6.43,0,0,0,300,300
8,6.55,64.302,6.323,6.55,6.43,0,0,0,300,300
9,6.354,64.302,6.323,6.55,6.43,0,0,0,300,300
