iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,2323.938,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
1,2327.629,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
2,2331.8,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
3,2328.063,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
4,2328.813,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
5,2325.768,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
6,2326.56,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
7,2325.714,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
8,2323.898,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
9,2324.915,23267.099,2323.898,2331.8,2326.71,1421312,1908736,1477427.2,6075,6075
