iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,27072.016,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
1,26987.565,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
2,26983.049,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
3,26981.331,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
4,26962.088,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
5,26572.306,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
6,26780.743,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
7,26590.901,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
8,26609.525,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
9,26625.034,268164.558,26572.306,27072.016,26816.456,-180224,10452992,3837952,14700,14700
