obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
224,528,1200,2112,0,0,0,0,880,6406,6406,0.2 0.89,0.201 0.899,1025.836,1025.836,9.773,18.538,11.601,58.003,0.019,10.755,0.807,287346688,293650432,289873100.8,289456128,293650432,290714419.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.201 0.899,0.241 0.926,5406.475,5406.475,10.191,10.864,10.378,51.891,0.032,9.509,0.817,285605888,293855232,289849344,287703040,293855232,290321203.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.241 0.926,0.264 0.84,9825.958,9877.803,8.992,9.289,9.077,45.385,0.064,8.164,0.825,284413952,286511104,286069555.2,284413952,286511104,286069555.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.264 0.84,0.37 0.887,12939.258,21614.26,7.903,8.141,8.006,40.028,0.268,6.918,0.791,286793728,291250176,290207334.4,288890880,291250176,290679193.6
224,528,1200,2112,0,0,0,0,880,6406,6406,0.37 0.887,0.392 0.742,16262.624,25146.103,7.658,7.931,7.744,38.722,0.286,6.652,0.78,287694848,291889152,291050291.2,289792000,291889152,291469721.6
224,528,1200,2112,0,0,0,0,880,6406,6406,0.392 0.742,0.547 0.839,20367.893,22917.035,6.735,7.854,7.495,37.476,0.33,6.351,0.789,287928320,292257792,291290316.8,290029568,292257792,291736780.8
224,528,1200,2112,0,0,0,0,880,6406,6406,0.547 0.839,0.743 0.749,24000.469,27666.866,7.227,7.567,7.431,37.154,0.237,6.381,0.788,290451456,294776832,293808537.6,292548608,294776832,294254182.4
224,528,1200,2112,0,0,0,0,880,6406,6406,0.743 0.749,0.486 0.651,30597.377,31754.406,8.957,9.286,9.052,45.261,0.351,7.877,0.799,290738176,295194624,294152601.6,292835328,295194624,294624460.8
224,528,1200,2112,0,0,0,0,880,6406,6406,0.486 0.651,0.784 0.56,34673.345,40067.02,7.618,8.932,8.115,40.575,0.594,6.682,0.812,291450880,295645184,294784204.8,293548032,295645184,295203635.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.784 0.56,0.427 0.498,40312.11,42051.695,7.15,7.469,7.237,36.184,0.468,5.955,0.796,295956480,300150784,299311923.2,298053632,300150784,299731353.6
224,528,1200,2112,0,0,0,0,880,6406,6406,0.427 0.498,0.316 0.123,43475.752,48554.938,6.54,6.947,6.674,33.37,0.843,5.057,0.755,296128512,300326912,299485593.6,298229760,300326912,299905843.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.316 0.123,0.571 0.498,50418.026,53332.188,7.487,7.891,7.595,37.974,0.558,6.253,0.765,296615936,300810240,299970560,298713088,300810240,300389990.4
224,528,1200,2112,0,0,0,0,880,6406,6406,0.571 0.498,0.953 0.188,54733.461,57987.761,9.156,9.591,9.312,46.561,1.219,7.277,0.791,296816640,301010944,300172083.2,298913792,301010944,300591513.6
224,528,1200,2112,0,0,0,0,880,6406,6406,0.953 0.188,0.447 0.388,60514.548,64665.287,7.485,7.865,7.576,37.879,0.511,6.278,0.769,296677376,298774528,298338713.6,298692608,298774528,298758144
224,528,1200,2112,0,0,0,0,880,6406,6406,0.447 0.388,0.892 0.779,65857.511,66498.553,9.002,9.398,9.181,45.903,1.434,6.956,0.769,290713600,297009152,295329792,290713600,299106304,296169472
224,528,1200,2112,0,0,0,0,880,6406,6406,0.892 0.779,0.273 0.673,69859.925,71030.523,8.686,8.878,8.733,43.664,0.778,7.149,0.785,297082880,301277184,300436684.8,299180032,301277184,300856115.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.273 0.673,0.926 0.498,75179.486,78921.459,8.258,8.536,8.394,41.971,1.338,6.265,0.771,297410560,301604864,299927142.4,299507712,301604864,300766003.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.926 0.498,0.21 0.415,80081.125,80995.119,8.204,8.499,8.288,41.438,1.13,6.372,0.766,295677952,301969408,299033395.2,295677952,301969408,299452825.6
224,528,1200,2112,0,0,0,0,880,6406,6406,0.21 0.415,0.946 0.188,85599.534,89918.826,8.916,9.295,9.023,45.115,1.566,6.67,0.767,302264320,310648832,307277004.8,304361472,310648832,307696435.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.946 0.188,0.288 0.671,90789.972,95760.96,8.137,8.332,8.211,41.053,1.218,6.197,0.774,298405888,302600192,300922470.4,300503040,302600192,301761331.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.288 0.671,0.963 0.124,96666.518,101324.307,8.774,9.309,8.911,44.556,1.665,6.442,0.784,300843008,302944256,302521548.8,300843008,305041408,302940979.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.963 0.124,0.227 0.646,100394.643,106952.254,7.914,8.094,7.989,39.947,1.32,5.884,0.766,303194112,307388416,305710694.4,305291264,307388416,306549555.2
224,528,1200,2112,0,0,0,0,880,6406,6406,0.227 0.646,0.982 0.062,106187.504,113118.987,7.533,7.835,7.598,37.989,1.677,5.14,0.76,301477888,307769344,304833331.2,301477888,307769344,305252761.6
