total_vertices,total_vertices_after_preprocessing,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem,max_mem,avg_mem
4800,8448,0.2 0.89,0.201 0.899,1025.836,1296.902,29.593,27.417,33.245,147.963,0.794,24.656,0.063,2097152,5804032,2838528
4800,8448,0.201 0.899,0.241 0.926,5406.475,6317.626,29.768,28.907,32.033,148.841,0.444,25.336,0.065,0,2097152,838860.8
4800,8448,0.241 0.926,0.264 0.84,9825.958,10120.172,33.152,31.829,35.888,165.758,0.184,28.849,0.109,2097152,2101248,2097971.2
4800,8448,0.264 0.84,0.37 0.887,12939.258,13428.606,39.298,35.696,47.525,196.491,2.351,32.331,0.217,2097152,2097152,2097152
4800,8448,0.37 0.887,0.392 0.742,16262.624,16333.97,36.817,36.602,37.258,184.084,0.46,32.634,0.133,6291456,6291456,6291456
4800,8448,0.392 0.742,0.547 0.839,20367.893,21025.339,33.484,33.283,34.022,167.42,0.896,28.904,0.119,2097152,4194304,2516582.4
4800,8448,0.547 0.839,0.743 0.749,24000.469,25553.018,36.826,36.143,38.188,184.128,1.339,31.779,0.118,2097152,2097152,2097152
4800,8448,0.743 0.749,0.486 0.651,30597.377,32567.659,36.904,36.844,36.973,184.518,2.298,30.861,0.141,2097152,2097152,2097152
4800,8448,0.486 0.651,0.784 0.56,34673.345,39136.879,30.912,29.964,31.936,154.558,3.721,23.527,0.087,0,2097152,1258291.2
4800,8448,0.784 0.56,0.427 0.498,40312.11,42863.779,35.361,35.174,35.856,176.806,3.535,28.096,0.124,2097152,2097152,2097152
4800,8448,0.427 0.498,0.316 0.123,43475.752,45214.981,38.66,38.319,39.697,193.298,5.005,29.889,0.164,2097152,2097152,2097152
4800,8448,0.316 0.123,0.571 0.498,50418.026,51925.489,33.715,33.597,34.032,168.575,3.852,26.109,0.125,2097152,2097152,2097152
4800,8448,0.571 0.498,0.953 0.188,54733.461,57197.317,36.155,36.068,36.266,180.777,8.049,24.366,0.124,2097152,2097152,2097152
4800,8448,0.953 0.188,0.447 0.388,60514.548,62605.098,31.113,29.771,31.874,155.564,3.63,23.786,0.079,0,2097152,1677721.6
4800,8448,0.447 0.388,0.892 0.779,65857.511,68094.755,38.562,38.45,38.668,192.81,9.68,25.127,0.122,2097152,2097152,2097152
4800,8448,0.892 0.779,0.273 0.673,69859.925,71424.959,31.318,30.912,31.875,156.592,5.351,22.286,0.078,2097152,2097152,2097152
4800,8448,0.273 0.673,0.926 0.498,75179.486,79470.161,42.551,42.183,43.435,212.756,9.342,29.429,0.145,2097152,2097152,2097152
4800,8448,0.926 0.498,0.21 0.415,80081.125,82201.601,39.203,39.038,39.296,196.016,7.941,27.495,0.137,6291456,6291456,6291456
4800,8448,0.21 0.415,0.946 0.188,85599.534,89262.099,31.303,30.91,31.937,156.515,10.22,17.386,0.054,6291456,6291456,6291456
4800,8448,0.946 0.188,0.288 0.671,90789.972,94645.795,29.431,28.937,29.872,147.156,7.762,18.028,0.041,2097152,2097152,2097152
4800,8448,0.288 0.671,0.963 0.124,96666.518,100919.969,31.556,31.094,31.776,157.78,10.962,16.912,0.04,2097152,2097152,2097152
4800,8448,0.963 0.124,0.227 0.646,100394.643,105043.818,28.413,28.104,29.012,142.067,8.284,16.457,0.044,2097152,2097152,2097152
4800,8448,0.227 0.646,0.982 0.062,106187.504,110871.713,33.988,33.177,35.988,169.942,10.894,19.279,0.065,2097152,2097152,2097152
