iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,219.034,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
1,218.695,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
2,219.035,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
3,218.909,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
4,219.097,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
5,219.181,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
6,219.185,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
7,219.024,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
8,218.451,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
9,226.135,2196.746,218.451,226.135,219.675,39845888,39849984,39846297.6,1200,1200
