iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,103.729,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
1,103.034,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
2,102.085,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
3,102.807,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
4,103.539,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
5,103.674,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
6,103.626,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
7,102.95,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
8,103.155,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
9,102.033,1030.633,102.033,103.729,103.063,18874368,18898944,18881331.2,675,675
