iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,6586.28,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
1,6602.055,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
2,6589.965,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
3,6621.172,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
4,6585.971,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
5,6596.066,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
6,6560.946,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
7,6572.255,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
8,6591.244,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
9,6609.595,65915.549,6560.946,6621.172,6591.555,-106496,5971968,3626188.8,7500,7500
