iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,42231.404,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
1,41991.121,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
2,42063.355,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
3,42249.197,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
4,41797.693,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
5,42217.528,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
6,42008.071,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
7,41952.009,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
8,42172.239,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
9,42059.42,420742.037,41797.693,42249.197,42074.204,8409088,13950976,12121702.4,14700,14700
