iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,2329.348,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
1,2339.993,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
2,2347.834,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
3,2395.256,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
4,2295.882,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
5,2312.366,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
6,2294.611,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
7,2301.223,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
8,2299.672,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
9,2310.761,23226.945,2294.611,2395.256,2322.694,0,4071424,1449164.8,3675,3675
