iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,7.983,83.251,7.365,11.441,8.325,0,0,0,75,75
1,7.416,83.251,7.365,11.441,8.325,0,0,0,75,75
2,7.372,83.251,7.365,11.441,8.325,0,0,0,75,75
3,10.845,83.251,7.365,11.441,8.325,0,0,0,75,75
4,7.992,83.251,7.365,11.441,8.325,0,0,0,75,75
5,7.397,83.251,7.365,11.441,8.325,0,0,0,75,75
6,7.519,83.251,7.365,11.441,8.325,0,0,0,75,75
7,11.441,83.251,7.365,11.441,8.325,0,0,0,75,75
8,7.922,83.251,7.365,11.441,8.325,0,0,0,75,75
9,7.365,83.251,7.365,11.441,8.325,0,0,0,75,75
