get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
15.904,5672.545,163.579,0.573,0.571,0,5874.509,1134,2673,6075,10692,0,0,0,0,4455,34986,34986
16.583,5721.053,159.962,0.582,0.545,1,5944.359,1134,2673,6075,10692,0,0,0,0,4455,34986,34986
18.06,5685.345,156.333,0.542,0.524,2,5884.332,1134,2673,6075,10692,0,0,0,0,4455,34986,34986
15.313,5980.811,186.532,0.491,1.862,3,6202.398,1134,2673,6075,10692,0,0,0,0,4455,34986,34986
15.892,5728.475,155.473,0.914,0.533,4,5915.876,1134,2673,6075,10692,0,0,0,0,4455,34986,34986
