iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,4.391,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
1,4.379,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
2,4.569,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
3,4.335,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
4,4.342,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
5,4.445,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
6,10.405,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
7,3.987,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
8,2.744,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
9,2.556,46.151,2.556,10.405,4.615,0,749568,100761.6,75,75
