iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,30.302,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
1,31.289,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
2,30.472,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
3,30.067,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
4,31.06,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
5,30.529,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
6,29.967,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
7,31.373,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
8,30.611,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
9,31.256,306.925,29.967,31.373,30.692,0,12582912,4406067.2,675,675
