iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,20.148,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
1,19.059,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
2,19.288,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
3,18.741,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
4,21.556,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
5,18.921,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
6,19.936,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
7,18.898,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
8,20.249,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
9,20.071,196.867,18.741,21.556,19.687,0,10485760,3146547.2,300,300
