iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,5773.211,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
1,5680.907,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
2,5711.058,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
3,5694.282,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
4,5681.972,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
5,5688.932,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
6,5697.825,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
7,5696.804,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
8,5692.812,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
9,5687.126,57004.927,5680.907,5773.211,5700.493,2502656,3018752,2743091.2,4800,4800
