iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,1.451,15.595,1.448,2.042,1.56,0,0,0,75,75
1,1.474,15.595,1.448,2.042,1.56,0,0,0,75,75
2,1.45,15.595,1.448,2.042,1.56,0,0,0,75,75
3,1.478,15.595,1.448,2.042,1.56,0,0,0,75,75
4,1.448,15.595,1.448,2.042,1.56,0,0,0,75,75
5,1.821,15.595,1.448,2.042,1.56,0,0,0,75,75
6,2.042,15.595,1.448,2.042,1.56,0,0,0,75,75
7,1.49,15.595,1.448,2.042,1.56,0,0,0,75,75
8,1.45,15.595,1.448,2.042,1.56,0,0,0,75,75
9,1.492,15.595,1.448,2.042,1.56,0,0,0,75,75
