iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,1492.671,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
1,1496.478,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
2,1492.281,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
3,1502.487,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
4,1504.566,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
5,1501.579,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
6,1503.611,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
7,1501.448,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
8,1499.888,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
9,1505.755,15000.764,1492.281,1505.755,1500.076,-3661824,8929280,1186201.6,2700,2700
