iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,4103.682,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
1,4087.407,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
2,4089.071,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
3,4096.3,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
4,4095.714,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
5,4100.566,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
6,4100.208,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
7,4097.887,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
8,4092.52,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
9,4109.485,40972.838,4087.407,4109.485,4097.284,540672,544768,541081.6,4800,4800
