iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,3321.182,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
1,3223.252,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
2,3216.223,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
3,3226.238,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
4,3217.29,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
5,3217.373,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
6,3219.582,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
7,3215.524,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
8,3189.252,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
9,3194.244,32240.162,3189.252,3321.182,3224.016,806912,819200,811417.6,6075,6075
