iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,35350.121,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
1,35416.456,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
2,35500.791,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
3,35615.429,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
4,35619.495,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
5,35520.17,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
6,35543.763,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
7,35478.769,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
8,35444.267,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
9,35569.055,355058.316,35350.121,35619.495,35505.832,1921024,2363392,2140160,24300,24300
