get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
1770.277,1924841.924,1344.345,0.451,0.527,0,1928074.457,600,42600,44400,170400,0,0,0,0,43800,327356,327356
1764.956,1929143.688,1436.507,0.852,0.526,1,1932452.817,600,42600,44400,170400,0,0,0,0,43800,327356,327356
1805.749,1932132.727,1371.481,0.43,0.487,2,1935424.523,600,42600,44400,170400,0,0,0,0,43800,327356,327356
1749.986,1917889.006,1397.714,0.579,0.558,3,1921144.096,600,42600,44400,170400,0,0,0,0,43800,327356,327356
1775.479,1911494.213,1364.741,0.469,0.492,4,1914738.426,600,42600,44400,170400,0,0,0,0,43800,327356,327356
