get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
1138.896,310829.8,631.222,0.261,0.363,0,312628.173,384,27264,28416,109056,0,0,0,0,28032,74284,74284
1104.682,317495.654,652.119,0.301,0.335,1,319276.053,384,27264,28416,109056,0,0,0,0,28032,74284,74284
1108.964,316073.064,639.156,0.297,0.335,2,317852.288,384,27264,28416,109056,0,0,0,0,28032,74284,74284
1140.104,315761.022,642.435,1.631,0.389,3,317567.659,384,27264,28416,109056,0,0,0,0,28032,74284,74284
1121.952,312166.663,756.489,0.937,0.334,4,314068.396,384,27264,28416,109056,0,0,0,0,28032,74284,74284
