get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
1427.708,1216033.192,1141.358,0.295,10.67,0,1218714.998,486,34506,35964,138024,0,0,0,0,35478,265968,265968
1427.562,1217055.744,1136.667,0.695,0.282,1,1219712.366,486,34506,35964,138024,0,0,0,0,35478,265968,265968
1427.32,1209079.68,1128.131,0.279,0.4,2,1211732.358,486,34506,35964,138024,0,0,0,0,35478,265968,265968
1443.21,1226662.152,1140.271,1.561,0.454,3,1229338.103,486,34506,35964,138024,0,0,0,0,35478,265968,265968
1399.265,1204768.716,1131.039,0.791,0.415,4,1207388.827,486,34506,35964,138024,0,0,0,0,35478,265968,265968
