get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
12.711,2036.051,54.077,4831.375,0.608,0,6968.985,569,1457,4282,5830,360,9153,84,18295,2446,20578,52347
12.617,2050.992,55.06,4819.906,2.122,1,6970.024,569,1457,4282,5830,360,9153,84,18295,2446,20578,52347
18.536,2026.701,52.924,4913.784,0.576,2,7049.006,569,1457,4282,5830,360,9153,84,18295,2446,20578,52347
12.833,2025.022,52.827,4823.854,0.708,3,6943.256,569,1457,4282,5830,360,9153,84,18295,2446,20578,52347
19.687,2018.903,51.269,4900.002,0.607,4,7017.915,569,1457,4282,5830,360,9153,84,18295,2446,20578,52347
