get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
9.15,1060.687,34.791,3624.737,0.404,0,4758.987,397,1012,2920,3987,275,7423,57,14848,1726,14646,40697
8.534,1063.112,36.049,3664.703,0.38,1,4796.687,397,1012,2920,3987,275,7423,57,14848,1726,14646,40697
8.598,1059.788,35.336,3677.607,0.376,2,4804.889,397,1012,2920,3987,275,7423,57,14848,1726,14646,40697
8.648,1058.839,35.892,3727.973,0.519,3,4854.768,397,1012,2920,3987,275,7423,57,14848,1726,14646,40697
16.286,1056.534,34.966,3706.67,0.388,4,4836.605,397,1012,2920,3987,275,7423,57,14848,1726,14646,40697
