time,kb
1690035886528,99312
1690035886632,99312
1690035886734,99312
1690035886838,99312
1690035886942,99312
1690035887045,99312
1690035887147,99312
1690035887248,99312
1690035887349,99312
1690035887456,99312
1690035887558,99312
1690035887659,99312
1690035887763,99312
1690035887866,99312
1690035887967,99312
1690035888070,99312
1690035888175,99312
1690035888276,99312
1690035888378,99312
1690035888479,99312
1690035888581,99312
1690035888682,99312
1690035888786,106612
1690035888888,107892
1690035888990,112824
1690035889091,122120
1690035889193,122248
1690035889295,124168
1690035889396,128824
1690035889500,128580
1690035889602,128836
1690035889703,128836
1690035889805,129092
1690035889911,129916
1690035890015,129872
1690035890117,129872
1690035890218,129872
1690035890320,129872
1690035890423,129872
1690035890525,129872
1690035890627,129872
1690035890729,129872
1690035890831,129872
1690035890933,129872
1690035891035,129872
1690035891136,129872
1690035891238,129872
1690035891340,129872
1690035891442,130000
1690035891544,130000
1690035891646,130000
1690035891748,130000
1690035891850,130000
1690035891952,130000
1690035892054,130896
1690035892155,130896
1690035892257,130896
1690035892359,130896
1690035892461,130896
1690035892563,130896
1690035892665,130896
1690035892767,131024
1690035892871,131024
1690035892972,131024
1690035893074,131024
1690035893175,131024
1690035893277,131024
1690035893379,131024
1690035893481,131024
1690035893582,131024
1690035893684,131024
1690035893786,131024
1690035893887,131024
1690035893989,131024
1690035894091,131024
1690035894192,131024
1690035894294,131024
1690035894396,131024
1690035894498,131024
1690035894599,131024
1690035894702,131024
1690035894804,131024
1690035894905,131024
1690035895007,130896
1690035895109,130896
1690035895210,130896
1690035895312,130896
1690035895415,130896
1690035895518,130896
1690035895624,130896
1690035895725,130896
1690035895827,130896
1690035895928,130896
1690035896030,131024
1690035896132,131024
1690035896234,131024
1690035896335,131024
1690035896437,131024
1690035896539,131024
1690035896641,131024
1690035896743,131024
1690035896844,131024
1690035896946,131024
1690035897048,131024
1690035897150,131024
1690035897251,131024
1690035897353,131024
1690035897455,131024
1690035897557,131024
1690035897658,131024
1690035897760,131024
1690035897862,131024
1690035897963,131024
1690035898065,131024
1690035898166,131024
1690035898268,131024
1690035898370,131024
1690035898472,131024
1690035898574,131024
1690035898675,131024
1690035898778,131024
1690035898880,131024
1690035898981,131024
1690035899083,131152
1690035899184,131152
1690035899286,131152
1690035899388,131152
1690035899489,131152
1690035899591,131152
1690035899693,131152
1690035899794,131152
1690035899896,131152
1690035899997,131152
1690035900099,131152
1690035900201,131152
1690035900303,131152
1690035900405,131152
1690035900506,131152
1690035900608,131152
1690035900710,131152
1690035900811,131152
1690035900914,131152
1690035901015,131152
1690035901117,131152
1690035901219,131152
1690035901320,131152
1690035901422,131152
1690035901524,131152
1690035901626,131152
1690035901727,131152
1690035901829,131152
1690035901931,135888
1690035902033,135880
1690035902134,135972
1690035902236,136116
1690035902338,140392
1690035902440,140348
1690035902542,140296
1690035902644,138352
1690035902748,138448
1690035902850,138508
1690035902952,138424
1690035903054,138468
1690035903156,138516
1690035903258,138408
1690035903360,138384
1690035903462,138440
1690035903564,138504
1690035903666,138432
1690035903768,138528
1690035903870,138468
1690035903972,138372
1690035904073,138440
1690035904175,138468
1690035904278,138516
1690035904380,138436
1690035904482,138560
1690035904584,138584
1690035904685,138492
1690035904787,138564
1690035904889,138504
1690035904991,138688
1690035905092,138564
1690035905194,138592
1690035905296,138520
1690035905398,138448
1690035905500,138560
1690035905602,138528
1690035905704,138576
1690035905807,138648
1690035905912,138568
1690035906014,138632
1690035906116,138440
1690035906218,138696
1690035906320,140536
1690035906422,140548
1690035906524,140660
1690035906625,140604
1690035906727,140604
1690035906828,140588
1690035906930,140604
1690035907031,140612
1690035907133,140612
1690035907234,140616
1690035907336,140624
1690035907437,140644
1690035907539,140676
1690035907641,140704
1690035907742,140688
1690035907844,140680
1690035907946,140680
1690035908048,140644
1690035908149,140572
1690035908251,140588
1690035908353,140580
1690035908454,140636
1690035908556,140784
1690035908657,140756
1690035908759,140740
1690035908861,140456
1690035908963,140500
1690035909065,140556
1690035909166,140392
1690035909268,140520
1690035909369,140356
1690035909471,140388
1690035909572,140428
1690035909674,140556
1690035909775,140384
1690035909876,140292
1690035909978,140348
1690035910079,140408
1690035910181,140464
1690035910282,140352
1690035910383,140608
1690035910485,140444
1690035910586,140476
1690035910688,140480
1690035910789,140380
1690035910890,140416
1690035910992,140468
1690035911094,140364
1690035911195,140420
1690035911296,140540
1690035911398,140452
1690035911500,140476
1690035911601,140472
1690035911702,140568
1690035911804,140536
1690035911905,140480
1690035912006,140592
1690035912108,140476
1690035912209,140496
1690035912310,140488
1690035912413,140500
1690035912515,140536
1690035912616,140540
1690035912718,140432
1690035912820,140568
1690035912926,140564
1690035913027,140576
1690035913129,140448
1690035913230,140564
1690035913332,140484
1690035913433,140500
1690035913535,140536
1690035913636,140544
1690035913738,140580
1690035913840,140524
1690035913941,140452
1690035914043,140636
1690035914144,140456
1690035914245,140512
1690035914347,140628
1690035914449,144536
1690035914550,144572
1690035914652,144828
1690035914753,144668
1690035914855,144696
1690035914956,141308
1690035915058,141396
1690035915160,141652
1690035915262,141368
1690035915364,141432
1690035915466,141488
1690035915568,141532
1690035915669,141564
1690035915771,141456
1690035915873,141564
1690035915975,141484
1690035916077,141504
1690035916179,141528
1690035916280,141444
1690035916382,141700
1690035916484,141548
1690035916585,141472
1690035916688,141372
1690035916790,141320
1690035916892,141576
1690035916994,141524
1690035917096,141452
1690035917198,141508
1690035917300,141428
1690035917402,141508
1690035917504,141764
1690035917605,141584
1690035917707,141468
1690035917809,141532
1690035917911,141484
1690035918013,141844
1690035918114,142576
1690035918216,143856
1690035918318,144116
1690035918421,144172
1690035918525,144288
1690035918626,144788
1690035918728,145428
1690035918830,145232
1690035918932,145288
1690035919034,145312
1690035919136,145452
1690035919237,145736
1690035919339,145512
1690035919441,145828
1690035919542,145884
1690035919644,145908
1690035919746,145828
1690035919848,146132
1690035919950,146068
1690035920052,146060
1690035920154,146188
1690035920256,146372
1690035920358,146360
1690035920460,146596
1690035920563,146524
1690035920665,146500
1690035920769,146956
1690035920871,147056
1690035920972,147240
1690035921074,147188
1690035921175,147232
1690035921277,147300
1690035921379,147344
1690035921481,147252
1690035921583,147320
1690035921685,147272
1690035921787,147348
1690035921888,147480
1690035921990,147492
