iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent
0,16.601,166.85,16.422,17.021,16.685,0.599,3.518
1,16.519,166.85,16.422,17.021,16.685,0.599,3.518
2,16.478,166.85,16.422,17.021,16.685,0.599,3.518
3,16.671,166.85,16.422,17.021,16.685,0.599,3.518
4,16.846,166.85,16.422,17.021,16.685,0.599,3.518
5,16.915,166.85,16.422,17.021,16.685,0.599,3.518
6,17.021,166.85,16.422,17.021,16.685,0.599,3.518
7,16.807,166.85,16.422,17.021,16.685,0.599,3.518
8,16.572,166.85,16.422,17.021,16.685,0.599,3.518
9,16.422,166.85,16.422,17.021,16.685,0.599,3.518
