iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,6.849,67.924,6.579,6.997,6.792,0.418,5.976,976
1,6.672,67.924,6.579,6.997,6.792,0.418,5.976,976
2,6.981,67.924,6.579,6.997,6.792,0.418,5.976,976
3,6.626,67.924,6.579,6.997,6.792,0.418,5.976,976
4,6.997,67.924,6.579,6.997,6.792,0.418,5.976,976
5,6.579,67.924,6.579,6.997,6.792,0.418,5.976,976
6,6.996,67.924,6.579,6.997,6.792,0.418,5.976,976
7,6.696,67.924,6.579,6.997,6.792,0.418,5.976,976
8,6.927,67.924,6.579,6.997,6.792,0.418,5.976,976
9,6.604,67.924,6.579,6.997,6.792,0.418,5.976,976
