iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,95.852,963.859,91.939,103.678,96.386,11.739,11.323,549
1,91.939,963.859,91.939,103.678,96.386,11.739,11.323,549
2,103.678,963.859,91.939,103.678,96.386,11.739,11.323,549
3,99.172,963.859,91.939,103.678,96.386,11.739,11.323,549
4,93.314,963.859,91.939,103.678,96.386,11.739,11.323,549
5,92.543,963.859,91.939,103.678,96.386,11.739,11.323,549
6,93.494,963.859,91.939,103.678,96.386,11.739,11.323,549
7,100.281,963.859,91.939,103.678,96.386,11.739,11.323,549
8,97.84,963.859,91.939,103.678,96.386,11.739,11.323,549
9,95.745,963.859,91.939,103.678,96.386,11.739,11.323,549
