iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,25.378,250.848,24.454,26.308,25.085,1.854,7.048,24400
1,24.993,250.848,24.454,26.308,25.085,1.854,7.048,24400
2,26.158,250.848,24.454,26.308,25.085,1.854,7.048,24400
3,24.454,250.848,24.454,26.308,25.085,1.854,7.048,24400
4,24.88,250.848,24.454,26.308,25.085,1.854,7.048,24400
5,24.875,250.848,24.454,26.308,25.085,1.854,7.048,24400
6,26.308,250.848,24.454,26.308,25.085,1.854,7.048,24400
7,24.463,250.848,24.454,26.308,25.085,1.854,7.048,24400
8,24.691,250.848,24.454,26.308,25.085,1.854,7.048,24400
9,24.648,250.848,24.454,26.308,25.085,1.854,7.048,24400
