iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,581.032,5830.539,580.094,586.129,583.054,6.035,1.03,1525
1,580.648,5830.539,580.094,586.129,583.054,6.035,1.03,1525
2,580.094,5830.539,580.094,586.129,583.054,6.035,1.03,1525
3,586.129,5830.539,580.094,586.129,583.054,6.035,1.03,1525
4,584.66,5830.539,580.094,586.129,583.054,6.035,1.03,1525
5,583.596,5830.539,580.094,586.129,583.054,6.035,1.03,1525
6,585.117,5830.539,580.094,586.129,583.054,6.035,1.03,1525
7,582.876,5830.539,580.094,586.129,583.054,6.035,1.03,1525
8,585.24,5830.539,580.094,586.129,583.054,6.035,1.03,1525
9,581.147,5830.539,580.094,586.129,583.054,6.035,1.03,1525
