iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,3327.151,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
1,3334.06,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
2,3328.017,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
3,3324.78,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
4,3324.231,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
5,3323.991,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
6,3321.779,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
7,3321.656,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
8,3320.57,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
9,3322.068,33248.303,3320.57,3334.06,3324.83,13.49,0.405,24400
