iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,8.147,82.064,7.9,9.233,8.206,1.333,14.433,6100
1,8.207,82.064,7.9,9.233,8.206,1.333,14.433,6100
2,8.225,82.064,7.9,9.233,8.206,1.333,14.433,6100
3,8.107,82.064,7.9,9.233,8.206,1.333,14.433,6100
4,8.068,82.064,7.9,9.233,8.206,1.333,14.433,6100
5,8.058,82.064,7.9,9.233,8.206,1.333,14.433,6100
6,9.233,82.064,7.9,9.233,8.206,1.333,14.433,6100
7,8.043,82.064,7.9,9.233,8.206,1.333,14.433,6100
8,7.9,82.064,7.9,9.233,8.206,1.333,14.433,6100
9,8.077,82.064,7.9,9.233,8.206,1.333,14.433,6100
