iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,520.419,5186.561,515.568,521.309,518.656,5.742,1.101,1525
1,519.587,5186.561,515.568,521.309,518.656,5.742,1.101,1525
2,521.018,5186.561,515.568,521.309,518.656,5.742,1.101,1525
3,516.775,5186.561,515.568,521.309,518.656,5.742,1.101,1525
4,518.608,5186.561,515.568,521.309,518.656,5.742,1.101,1525
5,517.408,5186.561,515.568,521.309,518.656,5.742,1.101,1525
6,521.309,5186.561,515.568,521.309,518.656,5.742,1.101,1525
7,519.022,5186.561,515.568,521.309,518.656,5.742,1.101,1525
8,515.568,5186.561,515.568,521.309,518.656,5.742,1.101,1525
9,516.848,5186.561,515.568,521.309,518.656,5.742,1.101,1525
