iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,260.857,2606.853,254.825,268.101,260.685,13.276,4.952,976
1,264.719,2606.853,254.825,268.101,260.685,13.276,4.952,976
2,255.746,2606.853,254.825,268.101,260.685,13.276,4.952,976
3,264.379,2606.853,254.825,268.101,260.685,13.276,4.952,976
4,268.101,2606.853,254.825,268.101,260.685,13.276,4.952,976
5,265.033,2606.853,254.825,268.101,260.685,13.276,4.952,976
6,260.923,2606.853,254.825,268.101,260.685,13.276,4.952,976
7,256.365,2606.853,254.825,268.101,260.685,13.276,4.952,976
8,254.825,2606.853,254.825,268.101,260.685,13.276,4.952,976
9,255.907,2606.853,254.825,268.101,260.685,13.276,4.952,976
