iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,1.187,10.256,0.726,1.278,1.026,0.552,43.194,244
1,1.099,10.256,0.726,1.278,1.026,0.552,43.194,244
2,0.841,10.256,0.726,1.278,1.026,0.552,43.194,244
3,1.066,10.256,0.726,1.278,1.026,0.552,43.194,244
4,1.036,10.256,0.726,1.278,1.026,0.552,43.194,244
5,0.726,10.256,0.726,1.278,1.026,0.552,43.194,244
6,1.278,10.256,0.726,1.278,1.026,0.552,43.194,244
7,1.109,10.256,0.726,1.278,1.026,0.552,43.194,244
8,1.145,10.256,0.726,1.278,1.026,0.552,43.194,244
9,0.768,10.256,0.726,1.278,1.026,0.552,43.194,244
