iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,7.49,78.087,7.028,8.888,7.809,1.86,20.927,61
1,8.695,78.087,7.028,8.888,7.809,1.86,20.927,61
2,7.17,78.087,7.028,8.888,7.809,1.86,20.927,61
3,8.888,78.087,7.028,8.888,7.809,1.86,20.927,61
4,7.82,78.087,7.028,8.888,7.809,1.86,20.927,61
5,7.699,78.087,7.028,8.888,7.809,1.86,20.927,61
6,7.491,78.087,7.028,8.888,7.809,1.86,20.927,61
7,8.323,78.087,7.028,8.888,7.809,1.86,20.927,61
8,7.483,78.087,7.028,8.888,7.809,1.86,20.927,61
9,7.028,78.087,7.028,8.888,7.809,1.86,20.927,61
