iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,227.359,2265.615,225.827,227.359,226.561,1.532,0.674,6100
1,226.156,2265.615,225.827,227.359,226.561,1.532,0.674,6100
2,226.792,2265.615,225.827,227.359,226.561,1.532,0.674,6100
3,226.047,2265.615,225.827,227.359,226.561,1.532,0.674,6100
4,226.923,2265.615,225.827,227.359,226.561,1.532,0.674,6100
5,226.135,2265.615,225.827,227.359,226.561,1.532,0.674,6100
6,226.483,2265.615,225.827,227.359,226.561,1.532,0.674,6100
7,225.827,2265.615,225.827,227.359,226.561,1.532,0.674,6100
8,227.261,2265.615,225.827,227.359,226.561,1.532,0.674,6100
9,226.631,2265.615,225.827,227.359,226.561,1.532,0.674,6100
