iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,104.489,1227.751,95.902,155.808,122.775,59.905,38.448,549
1,103.249,1227.751,95.902,155.808,122.775,59.905,38.448,549
2,96.325,1227.751,95.902,155.808,122.775,59.905,38.448,549
3,95.902,1227.751,95.902,155.808,122.775,59.905,38.448,549
4,135.353,1227.751,95.902,155.808,122.775,59.905,38.448,549
5,154.817,1227.751,95.902,155.808,122.775,59.905,38.448,549
6,155.808,1227.751,95.902,155.808,122.775,59.905,38.448,549
7,148.811,1227.751,95.902,155.808,122.775,59.905,38.448,549
8,110.544,1227.751,95.902,155.808,122.775,59.905,38.448,549
9,122.454,1227.751,95.902,155.808,122.775,59.905,38.448,549
