iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,7.449,74.23,6.104,10.967,7.423,4.863,44.34,61
1,10.054,74.23,6.104,10.967,7.423,4.863,44.34,61
2,6.862,74.23,6.104,10.967,7.423,4.863,44.34,61
3,6.35,74.23,6.104,10.967,7.423,4.863,44.34,61
4,6.979,74.23,6.104,10.967,7.423,4.863,44.34,61
5,6.336,74.23,6.104,10.967,7.423,4.863,44.34,61
6,6.248,74.23,6.104,10.967,7.423,4.863,44.34,61
7,6.88,74.23,6.104,10.967,7.423,4.863,44.34,61
8,6.104,74.23,6.104,10.967,7.423,4.863,44.34,61
9,10.967,74.23,6.104,10.967,7.423,4.863,44.34,61
