iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,28.135,298.698,26.033,36.791,29.87,10.758,29.24,244
1,36.791,298.698,26.033,36.791,29.87,10.758,29.24,244
2,32.872,298.698,26.033,36.791,29.87,10.758,29.24,244
3,31.372,298.698,26.033,36.791,29.87,10.758,29.24,244
4,26.375,298.698,26.033,36.791,29.87,10.758,29.24,244
5,26.033,298.698,26.033,36.791,29.87,10.758,29.24,244
6,27.201,298.698,26.033,36.791,29.87,10.758,29.24,244
7,26.607,298.698,26.033,36.791,29.87,10.758,29.24,244
8,26.984,298.698,26.033,36.791,29.87,10.758,29.24,244
9,36.329,298.698,26.033,36.791,29.87,10.758,29.24,244
