iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,35.882,308.408,28.875,35.882,30.841,7.007,19.527,244
1,30.349,308.408,28.875,35.882,30.841,7.007,19.527,244
2,30.251,308.408,28.875,35.882,30.841,7.007,19.527,244
3,29.916,308.408,28.875,35.882,30.841,7.007,19.527,244
4,28.875,308.408,28.875,35.882,30.841,7.007,19.527,244
5,30.155,308.408,28.875,35.882,30.841,7.007,19.527,244
6,31.287,308.408,28.875,35.882,30.841,7.007,19.527,244
7,29.416,308.408,28.875,35.882,30.841,7.007,19.527,244
8,30.555,308.408,28.875,35.882,30.841,7.007,19.527,244
9,31.724,308.408,28.875,35.882,30.841,7.007,19.527,244
