iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,275.32,2884.263,275.32,299.187,288.426,23.867,7.977,976
1,288.705,2884.263,275.32,299.187,288.426,23.867,7.977,976
2,280.68,2884.263,275.32,299.187,288.426,23.867,7.977,976
3,288.482,2884.263,275.32,299.187,288.426,23.867,7.977,976
4,285.447,2884.263,275.32,299.187,288.426,23.867,7.977,976
5,290.981,2884.263,275.32,299.187,288.426,23.867,7.977,976
6,290.104,2884.263,275.32,299.187,288.426,23.867,7.977,976
7,292.081,2884.263,275.32,299.187,288.426,23.867,7.977,976
8,293.275,2884.263,275.32,299.187,288.426,23.867,7.977,976
9,299.187,2884.263,275.32,299.187,288.426,23.867,7.977,976
