iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,8169.761,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
1,8204.418,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
2,8208.656,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
3,8190.994,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
4,8207.645,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
5,8138.32,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
6,8115.332,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
7,8106.959,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
8,8140.041,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
9,8188.418,81670.544,8106.959,8208.656,8167.054,101.697,1.239,6100
