iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent
0,4.771,38.004,2.492,4.771,3.8,2.28,47.775
1,4.606,38.004,2.492,4.771,3.8,2.28,47.775
2,4.361,38.004,2.492,4.771,3.8,2.28,47.775
3,2.678,38.004,2.492,4.771,3.8,2.28,47.775
4,2.55,38.004,2.492,4.771,3.8,2.28,47.775
5,2.492,38.004,2.492,4.771,3.8,2.28,47.775
6,2.833,38.004,2.492,4.771,3.8,2.28,47.775
7,4.695,38.004,2.492,4.771,3.8,2.28,47.775
8,4.413,38.004,2.492,4.771,3.8,2.28,47.775
9,4.606,38.004,2.492,4.771,3.8,2.28,47.775
